GSA11,Souda,GSA11,0.6202249,0.4212434,141.0,111.8,10471
GSA29,Souda,GSA29,0.6200479,0.4217875,141.0,291.8,10471
GUA06L,Andersen,GUA06L,0.237014,2.529247,178.0,65.7,10555
GUA24R,Andersen,GUA24R,0.2372218,2.52972,178.0,245.7,10555
GUS05,Grissom,GUS05,0.7092253,-1.503916,245.0,44.3,12500
GUS23,Grissom,GUS23,0.7096533,-1.503365,245.0,224.3,12500
HAO12,Hao,HAO12,-0.3153083,-2.460143,3.0,135.0,10089
HAO30,Hao,HAO30,-0.3156429,-2.459791,3.0,315.0,10089
HAW13,Ascencion,HAW13,-0.1389906,-0.2514116,73.0,116.8,9519
HAW31,Ascencion,HAW31,-0.1391851,-0.2510227,73.0,296.8,9519
HNL08R,Honolulu,HNL08R,0.3718713,-2.75665,3.0,90.0,11500
HNL26L,Honolulu,HNL26L,0.3718713,-2.756085,3.0,270.0,11500
IKF02,Keflavik,IKF02,1.116426,-0.3945279,41.0,0.0,9519
IKF11,Keflavik,IKF11,1.116762,-0.3953503,41.0,89.9,9556
IKF20,Keflavik,IKF20,1.116858,-0.3945279,41.0,180.0,9519
IKF29,Keflavik,IKF29,1.116763,-0.3943625,41.0,269.9,9556
ILM06,Wilmington,ILM06,0.5979929,-1.359771,6.0,48.2,7500
ILM24,Wilmington,ILM24,0.5982804,-1.359382,6.0,228.2,7500
INN06,Shannon,INN06,0.9196776,-0.1560559,9.0,52.2,9539
INN24,Shannon,INN24,0.9199426,-0.1554922,9.0,232.2,9539
JDG13,Diego Garcia,JDG13,-0.1274893,1.263564,3.0,121.9,12003
JDG31,Diego Garcia,JDG31,-0.1277928,1.264056,3.0,301.9,12003
JTY18,Yokota,JTY18,0.6241933,2.432026,134.0,170.3,11000
JTY36,Yokota,JTY36,0.6236746,2.432135,134.0,350.3,11000
KBO14L,Koln/Bonn,KBO14L,0.8880165,0.1244503,81.0,137.6,12015
KBO32R,Koln/Bonn,KBO32R,0.8876096,0.1250388,81.0,317.6,12015
KIN06,Kinshasa,KIN06,-0.07672566,0.2692685,308.0,57.1,14920
KIN24,Kinshasa,KIN24,-0.07635097,0.2698495,308.0,237.1,14920
KKI15R,King Khalid,KKI15R,0.4358016,0.8146414,622.0,150.2,13298
KKI33L,King Khalid,KKI33L,0.4352703,0.8149771,622.0,330.2,13298
KSC15,Kennedy,KSC15,0.4997358,-1.408586,3.0,150.2505,15000
