0.025,0.050,0.100,0.200,0.300,0.500,1.000,1.500
-40.000,-4.000
-0.32480,-0.25924,-0.19079,-0.09188,-0.05063,-0.02889,-0.01001,0.0
0.05748,0.04603,0.03337,0.02094,0.01440,0.00750,-0.00020,0.0
0.06000,0.07340,0.08010,0.04560,0.02040,0.01130,0.00400,0.0
-40.000,0.0
-0.14000,-0.11810,-0.07600,-0.03880,-0.02960,-0.01720,-0.00500,0.0
0.08000,0.06400,0.04630,0.02770,0.01820,0.00980,0.00050,0.0
0.05470,0.06270,0.07210,0.03890,0.01770,0.01130,0.00400,0.0
-40.000,4.000
0.08343,0.07243,0.03247,0.00947,0.00082,0.00044,0.0,0.0
0.04629,0.03664,0.02991,0.01646,0.01177,0.00629,0.0,0.0
0.04400,0.05740,0.06550,0.02560,0.0,0.0,0.0,0.0
-40.000,8.000
0.12507,0.09493,0.06978,0.04010,0.02933,0.01717,0.00198,0.0
0.03749,0.02977,0.02231,0.01153,0.00749,0.00365,-0.00029,0.0
0.02400,0.05070,0.04950,0.01890,0.00570,0.00330,0.0,0.0
-40.000,12.000
0.19062,0.12470,0.09086,0.05632,0.04265,0.02978,0.00412,0.0
0.03105,0.02972,0.02393,0.01533,0.00872,0.00411,0.00015,0.0
0.02400,0.05070,0.04550,0.00960,0.00570,0.00330,0.0,0.0
-40.000,16.000
0.28655,0.10494,0.09409,0.08984,0.06071,0.03250,0.00618,0.0
0.01978,0.04346,0.02774,0.00930,0.00673,0.00524,-0.00021,0.0
0.00670,0.04270,0.04010,-0.00240,-0.00760,-0.00340,0.0,0.0
-40.000,20.000
0.37164,0.13954,0.10369,0.08217,0.08059,0.04332,0.00820,0.0
-0.00225,0.04889,0.02994,0.01085,-0.00166,-0.00087,-0.00086,0.0
-0.07200,0.00540,0.02550,-0.00780,-0.01430,-0.00740,-0.00300,0.0
-30.000,-4.000
-0.28434,-0.23952,-0.17154,-0.09381,-0.06001,-0.03051,-0.00705,0.0
0.05229,0.04350,0.02610,0.01269,0.00663,0.00198,0.00051,0.0
0.10930,0.10930,0.10390,0.04240,0.01560,0.00870,0.00500,0.0
-30.000,0.0
-0.18500,-0.16380,-0.11730,-0.05340,-0.02240,-0.00620,-0.00500,0.0
0.07200,0.06030,0.03830,0.01990,0.01140,0.00440,0.00100,0.0
0.09460,0.09860,0.09590,0.03710,0.01560,0.00870,0.00500,0.0
-30.000,4.000
-0.08546,-0.09166,-0.09671,0.00088,0.01118,0.00541,0.0,0.0
0.06813,0.05112,0.03333,0.01397,0.00644,0.00143,0.0,0.0
0.09060,0.09330,0.08650,0.02780,0.00630,0.00210,0.0,0.0
-30.000,8.000
-0.06069,-0.07108,-0.07258,0.02400,0.02852,0.01423,0.00198,0.0
0.07114,0.05543,0.03686,0.01056,0.00316,-0.00008,-0.00028,0.0
0.08800,0.08930,0.08120,0.02380,0.0,0.0,0.0,0.0
-30.000,12.000
0.02267,-0.00047,-0.01859,0.05700,0.04119,0.02501,0.00391,0.0
0.05857,0.04590,0.03084,0.00220,-0.00150,-0.00307,-0.00083,0.0
0.08130,0.08260,0.07190,0.01040,-0.00570,-0.00330,0.0,0.0
-30.000,16.000
0.26788,0.15903,0.05422,0.07782,0.04775,0.02731,0.00632,0.0
0.02722,0.03908,0.04250,0.00619,0.00399,-0.00128,0.00027,0.0
0.01730,0.03590,0.03850,-0.00160,-0.00700,-0.00330,0.0,0.0
-30.000,20.000
0.32295,0.22115,0.11294,0.08865,0.05582,0.03205,0.00820,0.0
0.01016,0.02167,0.02785,0.00381,-0.00276,-0.00549,-0.00086,0.0
-0.04540,-0.01470,0.01450,-0.00420,-0.00700,-0.00330,0.0,0.0
-20.000,-4.000
-0.40532,-0.29492,-0.21372,-0.12707,-0.08111,-0.04037,-0.00998,0.0
0.06208,0.06027,0.04590,0.02530,0.01307,0.00389,-0.00070,0.0
0.19860,0.17330,0.12250,0.05980,0.03030,0.01940,0.00800,0.0
-20.000,0.0
-0.28000,-0.22000,-0.16320,-0.08060,-0.04600,-0.02500,-0.00500,0.0
0.05970,0.05180,0.03710,0.02230,0.01340,0.00510,0.0,0.0
0.18260,0.15730,0.11320,0.05580,0.03030,0.01940,0.00800,0.0
-20.000,4.000
-0.19674,-0.14722,-0.09238,-0.03819,-0.02427,-0.01472,-0.00399,0.0
0.05365,0.04498,0.03242,0.01861,0.01132,0.00454,0.00029,0.0
0.15860,0.13590,0.09720,0.04510,0.02360,0.01410,0.00500,0.0
-20.000,8.000
0.00420,0.00034,-0.00838,-0.01208,-0.00619,-0.00060,-0.00198,0.0
0.02991,0.02581,0.02087,0.01392,0.00844,0.00362,0.00029,0.0
0.11060,0.09460,0.06790,0.03310,0.01700,0.00870,0.00500,0.0
-20.000,12.000
0.10698,0.08669,0.05038,0.01221,0.00297,0.00073,0.0,0.0
0.02235,0.01971,0.01577,0.01366,0.00918,0.00342,0.0,0.0
0.08530,0.07460,0.05320,0.02510,0.01300,0.00740,0.00500,0.0
-20.000,16.000
0.24834,0.19229,0.10873,0.04937,0.02550,0.01337,0.00192,0.0
-0.00463,0.00375,0.01023,0.00675,0.00353,-0.00019,-0.00055,0.0
0.01730,0.01730,0.01590,0.01040,0.00900,0.00470,0.00300,0.0
-20.000,20.000
0.32302,0.24961,0.16087,0.08169,0.04381,0.02702,0.00470,0.0
0.01035,0.01333,0.00604,0.00251,0.00342,-0.00207,-0.00171,0.0
-0.06000,-0.03610,-0.01750,-0.00290,0.00230,0.00470,0.00300,0.0
-15.000,-4.000
